impl,prog_size,loop_scans,runtime_ms,timed_out,success
rust-naive,11,2,101.877384,False,True
rust-safe,11,1,48895.967914,False,False
rust-safe,11,2,56214.552638,False,False
rosette,4,3,163706.10278320312,False,False
rosette,4,2,168319.75805664062,False,False
rust-naive,11,3,89.295105,False,True
rosette,4,1,170926.31689453125,False,False
rust-online,10,1,171081.878609,False,False
rust-online,10,2,176424.971642,False,False
rust-online,10,3,177841.656995,False,False
rust-safe,11,3,54439.777957,False,False
rust-naive,12,1,35967.118266,False,False
rust-safe,12,1,42481.993201000005,False,False
rust,9,1,549720.4902839999,False,False
rust-online,11,2,449015.031565,False,True
rust-naive,12,2,125.601338,False,True
rust-online,11,3,432668.479124,False,True
rust-safe,12,2,71924.86270099999,False,False
rust,11,2,894498.128128,False,True
rust,12,3,4650.196706,False,True
rust-naive,12,3,118.796643,False,True
rust-safe,12,3,71788.094031,False,False
rust,11,3,996995.411587,False,True
rust-online,12,2,1590275.652978,False,True
rust-online,11,1,2176451.215999,False,False
rust-online,12,3,1525756.209815,False,True
rosette,5,1,3600000,True,False
rosette,5,2,3600000,True,False
rosette,5,3,3600000,True,False
rosette,6,1,3600000,True,False
rosette,6,2,3600000,True,False
rosette,6,3,3600000,True,False
rosette,7,1,3600000,True,False
rosette,7,2,3600000,True,False
rosette,7,3,3600000,True,False
rosette,8,1,3600000,True,False
rosette,8,2,3600000,True,False
rosette,8,3,3600000,True,False
rosette,9,1,3600000,True,False
rosette,9,2,3600000,True,False
rust,10,1,3600000,True,False
rosette,9,3,3600000,True,False
rosette,10,1,3600000,True,False
rosette,10,2,3600000,True,False
rosette,10,3,3600000,True,False
rust,11,1,3600000,True,False
rosette,11,1,3600000,True,False
rosette,11,2,3600000,True,False
rosette,11,3,3600000,True,False
rust,12,1,3600000,True,False
rust-online,12,1,3600000,True,False
rosette,12,1,3600000,True,False
rust,12,2,3600000,True,False
rosette,12,2,3600000,True,False
rosette,12,3,3600000,True,False
